E:\self driving car\data\IMG\center_2018_10_31_00_50_36_029.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_36_029.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_36_029.jpg, 0, 0, 0, 7.848084E-05
E:\self driving car\data\IMG\center_2018_10_31_00_50_36_325.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_36_325.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_36_325.jpg, 0, 0, 0, 7.795882E-05
E:\self driving car\data\IMG\center_2018_10_31_00_50_36_535.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_36_535.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_36_535.jpg, 0, 0, 0, 7.838115E-05
E:\self driving car\data\IMG\center_2018_10_31_00_50_36_732.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_36_732.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_36_732.jpg, 0, 0, 0, 7.84185E-05
E:\self driving car\data\IMG\center_2018_10_31_00_50_36_976.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_36_976.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_36_976.jpg, 0, 0, 0, 7.776337E-05
E:\self driving car\data\IMG\center_2018_10_31_00_50_37_179.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_37_179.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_37_179.jpg, -0.6163478, 0.6163478, 0, 1.4417
E:\self driving car\data\IMG\center_2018_10_31_00_50_37_385.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_37_385.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_37_385.jpg, 0, 1, 0, 3.768859
E:\self driving car\data\IMG\center_2018_10_31_00_50_37_619.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_37_619.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_37_619.jpg, 0, 1, 0, 6.554283
E:\self driving car\data\IMG\center_2018_10_31_00_50_37_821.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_37_821.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_37_821.jpg, -0.6053906, 1, 0, 8.630502
E:\self driving car\data\IMG\center_2018_10_31_00_50_38_026.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_38_026.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_38_026.jpg, 0, 1, 0, 10.78663
E:\self driving car\data\IMG\center_2018_10_31_00_50_38_229.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_38_229.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_38_229.jpg, 0, 1, 0, 13.00283
E:\self driving car\data\IMG\center_2018_10_31_00_50_38_439.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_38_439.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_38_439.jpg, 0, 0.3738903, 0, 13.76336
E:\self driving car\data\IMG\center_2018_10_31_00_50_38_643.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_38_643.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_38_643.jpg, 0, 0, 0, 13.47558
E:\self driving car\data\IMG\center_2018_10_31_00_50_38_839.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_38_839.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_38_839.jpg, 0, 0, 0, 13.15841
E:\self driving car\data\IMG\center_2018_10_31_00_50_39_074.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_39_074.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_39_074.jpg, -0.6907603, 0, 0, 12.35226
E:\self driving car\data\IMG\center_2018_10_31_00_50_39_332.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_39_332.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_39_332.jpg, 0, 0, 0, 12.25339
E:\self driving car\data\IMG\center_2018_10_31_00_50_39_538.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_39_538.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_39_538.jpg, 0, 0, 0, 11.76959
E:\self driving car\data\IMG\center_2018_10_31_00_50_39_748.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_39_748.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_39_748.jpg, -0.6320326, 0, 0, 11.25905
E:\self driving car\data\IMG\center_2018_10_31_00_50_39_945.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_39_945.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_39_945.jpg, -0.0335604, 0, 0, 10.97048
E:\self driving car\data\IMG\center_2018_10_31_00_50_40_187.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_40_187.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_40_187.jpg, 0, 0, 0, 10.70652
E:\self driving car\data\IMG\center_2018_10_31_00_50_40_445.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_40_445.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_40_445.jpg, -0.7767318, 0, 0, 9.95717
E:\self driving car\data\IMG\center_2018_10_31_00_50_40_654.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_40_654.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_40_654.jpg, -0.1482621, 0, 0, 9.686776
E:\self driving car\data\IMG\center_2018_10_31_00_50_40_868.jpg, E:\self driving car\data\IMG\left_2018_10_31_00_50_40_868.jpg, E:\self driving car\data\IMG\right_2018_10_31_00_50_40_868.jpg, 0, 0, 0, 9.481174
